name,age,movie,popcorn,snack,drinks,times,payment
김서윤,20,웡카,구매안함,구매안함,구매안함,일반,삼성 페이
최재현,50,시민덕희,구매안함,구매안함,제로콜라,일반,신용카드
이지은,40,웡카,카라멜,핫도그,아메리카노,일반,삼성 페이
김민지,20,너의 이름은,일반,구매안함,구매안함,일반,삼성 페이
고하은,40,도그맨,구매안함,오징어,물,심야,신용카드
김은지,20,웡카,카라멜,맛밤,제로콜라,심야,삼성 페이
김시우,40,시민덕희,치즈,구매안함,제로콜라,일반,삼성 페이
김정남,20,웡카,일반,맛밤,스프라이트,일반,삼성 페이
송정자,50,시민덕희,일반,핫도그,제로콜라,일반,현금
강영숙,20,위시,어니언,나초,제로콜라,일반,신용카드
송영미,20,위시,일반,구매안함,스프라이트,조조,신용카드
김준혁,20,너의 이름은,카라멜,핫도그,에이드,일반,체크카드
박민수,30,도그맨,치즈,구매안함,스프라이트,일반,삼성 페이
박건우,20,웡카,구매안함,오징어,스프라이트,일반,삼성 페이
고경희,20,위시,구매안함,구매안함,에이드,조조,신용카드
김도현,40,웡카,카라멜,구매안함,아메리카노,일반,삼성 페이
이수빈,20,외계인,구매안함,구매안함,콜라,일반,삼성 페이
최시우,30,웡카,일반,핫도그,구매안함,일반,삼성 페이
이민준,30,외계인,어니언,나초,구매안함,심야,체크카드
조영호,20,웡카,구매안함,구매안함,스프라이트,일반,삼성 페이
김정남,30,시민덕희,구매안함,구매안함,환타,일반,삼성 페이
김경숙,20,시민덕희,일반,나초,아메리카노,일반,신용카드
김영길,20,너의 이름은,일반,나초,에이드,일반,신용카드
송서연,30,시민덕희,어니언,구매안함,환타,일반,삼성 페이
강경수,30,웡카,구매안함,구매안함,에이드,일반,체크카드
김준호,20,웡카,치즈,나초,아메리카노,조조,신용카드
강준호,20,위시,치즈,나초,구매안함,일반,삼성 페이
김재현,50,웡카,구매안함,구매안함,구매안함,일반,현금
한채원,50,위시,일반,구매안함,제로콜라,조조,카카오페이
황미숙,30,웡카,구매안함,구매안함,물,일반,신용카드
김숙자,30,웡카,일반,구매안함,제로콜라,조조,삼성 페이
최상현,20,시민덕희,구매안함,맛밤,물,일반,카카오페이
최수빈,50,웡카,구매안함,구매안함,에이드,조조,삼성 페이
이채원,30,시민덕희,어니언,나초,구매안함,일반,신용카드
김민수,30,시민덕희,구매안함,나초,환타,일반,삼성 페이
최동현,40,웡카,일반,구매안함,제로콜라,일반,체크카드
문진호,50,위시,어니언,구매안함,제로콜라,심야,체크카드
이현숙,40,도그맨,구매안함,구매안함,스프라이트,조조,삼성 페이
이병철,60,웡카,치즈,구매안함,콜라,일반,삼성 페이
박성민,50,웡카,구매안함,구매안함,콜라,일반,신용카드
이민서,30,웡카,구매안함,구매안함,콜라,일반,신용카드
홍예준,20,위시,카라멜,핫도그,물,일반,삼성 페이
김재호,40,웡카,어니언,구매안함,콜라,일반,신용카드
김미경,30,시민덕희,일반,나초,콜라,조조,신용카드
홍영철,30,웡카,구매안함,구매안함,에이드,조조,삼성 페이
강서윤,20,시민덕희,구매안함,구매안함,물,일반,신용카드
김상호,60,너의 이름은,카라멜,오징어,스프라이트,조조,카카오페이
오현정,20,웡카,치즈,구매안함,에이드,일반,체크카드
윤시우,30,위시,구매안함,핫도그,물,일반,삼성 페이
이현정,20,위시,카라멜,핫도그,물,조조,카카오페이
권정웅,50,시민덕희,구매안함,구매안함,콜라,조조,신용카드
이지훈,50,도그맨,어니언,구매안함,에이드,일반,삼성 페이
백윤서,20,시민덕희,구매안함,구매안함,물,일반,삼성 페이
이채원,30,웡카,구매안함,구매안함,구매안함,일반,체크카드
곽민석,40,웡카,어니언,구매안함,제로콜라,조조,삼성 페이
김영희,30,웡카,어니언,나초,구매안함,심야,삼성 페이
지명숙,20,너의 이름은,구매안함,오징어,스프라이트,일반,체크카드
서민지,30,시민덕희,카라멜,구매안함,구매안함,조조,삼성 페이
최보람,20,웡카,카라멜,구매안함,제로콜라,일반,삼성 페이
김경숙,40,위시,어니언,나초,물,조조,신용카드
박상호,20,웡카,일반,구매안함,환타,일반,카카오페이
김광수,20,웡카,어니언,오징어,물,일반,삼성 페이
김은서,30,외계인,일반,나초,물,조조,신용카드
김현우,20,웡카,일반,나초,아메리카노,일반,카카오페이
이진호,20,웡카,카라멜,구매안함,제로콜라,일반,신용카드
윤경자,60,도그맨,일반,오징어,물,일반,현금
최현준,30,도그맨,구매안함,핫도그,구매안함,조조,카카오페이
주영순,30,도그맨,구매안함,구매안함,구매안함,일반,삼성 페이
최명숙,20,웡카,구매안함,나초,제로콜라,조조,삼성 페이
이수빈,30,시민덕희,일반,구매안함,제로콜라,일반,삼성 페이
류민수,20,시민덕희,구매안함,나초,콜라,일반,삼성 페이
최정숙,50,너의 이름은,일반,구매안함,콜라,일반,신용카드
이옥자,30,웡카,일반,구매안함,물,일반,삼성 페이
남채원,40,웡카,구매안함,나초,스프라이트,일반,신용카드
김영진,40,위시,어니언,핫도그,물,일반,신용카드
류아름,30,웡카,구매안함,나초,제로콜라,조조,삼성 페이
이서연,30,웡카,구매안함,구매안함,아메리카노,일반,신용카드
박영숙,20,시민덕희,일반,나초,구매안함,일반,삼성 페이
김준혁,50,웡카,구매안함,구매안함,스프라이트,심야,신용카드
김은주,20,도그맨,구매안함,오징어,콜라,일반,삼성 페이
이지원,20,웡카,구매안함,구매안함,제로콜라,조조,신용카드
이지아,40,웡카,어니언,핫도그,제로콜라,일반,신용카드
한성수,40,위시,카라멜,나초,에이드,일반,삼성 페이
김종수,20,웡카,어니언,구매안함,환타,일반,체크카드
이순옥,20,시민덕희,어니언,구매안함,아메리카노,조조,삼성 페이
서재현,50,위시,일반,구매안함,스프라이트,조조,삼성 페이
이서연,60,시민덕희,치즈,구매안함,제로콜라,일반,체크카드
서우진,30,외계인,구매안함,맛밤,스프라이트,일반,신용카드
서윤서,60,위시,일반,구매안함,에이드,심야,삼성 페이
오수진,60,도그맨,구매안함,핫도그,구매안함,일반,카카오페이
김순자,30,시민덕희,치즈,구매안함,물,일반,삼성 페이
류영희,30,웡카,구매안함,구매안함,아메리카노,일반,삼성 페이
안정훈,20,웡카,치즈,구매안함,환타,조조,현금
김상현,40,위시,일반,나초,콜라,일반,현금
박정훈,20,위시,치즈,구매안함,물,일반,카카오페이
박현숙,40,외계인,구매안함,구매안함,에이드,일반,삼성 페이
류정숙,30,도그맨,치즈,구매안함,에이드,일반,삼성 페이
서민재,50,외계인,어니언,나초,아메리카노,일반,신용카드
박성수,40,웡카,일반,나초,제로콜라,조조,삼성 페이
김은주,20,시민덕희,구매안함,구매안함,아메리카노,일반,삼성 페이
이은경,60,웡카,치즈,구매안함,환타,조조,카카오페이
송예준,30,위시,구매안함,나초,스프라이트,심야,카카오페이
오정웅,40,외계인,일반,맛밤,구매안함,조조,삼성 페이
황중수,20,위시,구매안함,구매안함,아메리카노,일반,삼성 페이
김정숙,30,시민덕희,구매안함,핫도그,제로콜라,조조,삼성 페이
안성진,50,외계인,일반,구매안함,아메리카노,조조,신용카드
박동현,20,시민덕희,구매안함,구매안함,아메리카노,조조,카카오페이
장은영,60,시민덕희,치즈,구매안함,콜라,일반,삼성 페이
한정희,20,웡카,어니언,핫도그,제로콜라,심야,삼성 페이
고민준,20,도그맨,구매안함,구매안함,아메리카노,일반,신용카드
이정호,30,위시,일반,구매안함,아메리카노,일반,신용카드
이현우,20,웡카,일반,나초,물,일반,카카오페이
서은영,40,너의 이름은,구매안함,구매안함,아메리카노,일반,체크카드
심시우,20,도그맨,구매안함,구매안함,스프라이트,일반,신용카드
최진우,50,웡카,어니언,구매안함,아메리카노,일반,신용카드
박수진,30,웡카,일반,구매안함,물,일반,체크카드
강영자,20,위시,구매안함,구매안함,제로콜라,일반,삼성 페이
이현주,20,웡카,일반,핫도그,물,일반,현금
류수진,60,웡카,어니언,구매안함,제로콜라,조조,신용카드
박도윤,20,시민덕희,어니언,구매안함,아메리카노,일반,신용카드
박중수,30,도그맨,일반,나초,환타,일반,삼성 페이
서영일,20,도그맨,일반,오징어,콜라,심야,카카오페이
박영호,50,웡카,카라멜,나초,구매안함,일반,삼성 페이
김준호,20,시민덕희,카라멜,구매안함,구매안함,일반,삼성 페이
하현정,30,웡카,어니언,구매안함,환타,조조,신용카드
이현우,20,외계인,일반,핫도그,콜라,조조,삼성 페이
최정자,20,너의 이름은,구매안함,맛밤,구매안함,일반,체크카드
황예지,20,웡카,어니언,구매안함,물,일반,신용카드
박은주,20,도그맨,어니언,구매안함,제로콜라,일반,체크카드
김지훈,30,웡카,구매안함,구매안함,제로콜라,심야,삼성 페이
이현지,60,웡카,카라멜,맛밤,환타,조조,신용카드
최선영,20,웡카,구매안함,구매안함,구매안함,일반,삼성 페이
최춘자,20,시민덕희,구매안함,핫도그,제로콜라,일반,신용카드
조현준,20,시민덕희,어니언,구매안함,환타,일반,신용카드
하성호,40,위시,구매안함,핫도그,제로콜라,조조,체크카드
오순옥,30,도그맨,카라멜,구매안함,구매안함,조조,삼성 페이
강시우,20,시민덕희,구매안함,구매안함,에이드,일반,카카오페이
심도현,20,웡카,일반,구매안함,콜라,조조,삼성 페이
박현정,40,시민덕희,일반,핫도그,물,심야,신용카드
이영일,30,웡카,구매안함,핫도그,환타,일반,삼성 페이
백경수,20,외계인,일반,구매안함,물,일반,삼성 페이
박성진,60,너의 이름은,일반,구매안함,콜라,조조,삼성 페이
이순자,20,웡카,구매안함,구매안함,아메리카노,심야,신용카드
박춘자,50,웡카,일반,구매안함,콜라,일반,삼성 페이
김은영,30,외계인,구매안함,구매안함,구매안함,일반,현금
오혜진,20,웡카,구매안함,핫도그,제로콜라,일반,신용카드
조경수,30,도그맨,구매안함,구매안함,환타,심야,신용카드
이병철,30,시민덕희,구매안함,구매안함,제로콜라,일반,신용카드
이성수,20,웡카,어니언,구매안함,구매안함,심야,삼성 페이
김동현,30,시민덕희,구매안함,나초,스프라이트,심야,삼성 페이
민옥순,30,시민덕희,치즈,나초,아메리카노,일반,삼성 페이
박민석,40,웡카,구매안함,나초,콜라,일반,삼성 페이
오영환,30,도그맨,구매안함,구매안함,콜라,일반,삼성 페이
이현주,20,외계인,일반,구매안함,물,일반,삼성 페이
김승현,40,시민덕희,구매안함,구매안함,제로콜라,일반,신용카드
나성수,20,너의 이름은,어니언,구매안함,제로콜라,일반,신용카드
류민지,40,웡카,일반,나초,스프라이트,일반,삼성 페이
박준영,20,시민덕희,구매안함,핫도그,물,일반,삼성 페이
이미영,30,웡카,구매안함,나초,제로콜라,일반,신용카드
송정웅,20,위시,카라멜,나초,콜라,일반,삼성 페이
김예진,20,웡카,구매안함,나초,제로콜라,조조,현금
최성민,40,웡카,구매안함,구매안함,구매안함,조조,신용카드
박경희,20,웡카,구매안함,구매안함,제로콜라,일반,삼성 페이
김영자,30,도그맨,카라멜,나초,콜라,조조,삼성 페이
김시우,40,웡카,어니언,구매안함,콜라,일반,신용카드
박예원,20,시민덕희,일반,구매안함,아메리카노,일반,삼성 페이
엄중수,30,위시,치즈,구매안함,물,일반,신용카드
이경숙,40,웡카,구매안함,맛밤,환타,조조,신용카드
송경수,50,도그맨,구매안함,구매안함,제로콜라,조조,신용카드
김은정,30,시민덕희,구매안함,구매안함,에이드,조조,삼성 페이
박민재,40,웡카,구매안함,구매안함,구매안함,일반,체크카드
구정순,30,도그맨,구매안함,나초,제로콜라,심야,신용카드
정민준,50,웡카,어니언,구매안함,아메리카노,일반,삼성 페이
김미숙,30,시민덕희,구매안함,구매안함,구매안함,일반,현금
이혜진,20,도그맨,구매안함,구매안함,물,조조,체크카드
임영수,20,시민덕희,구매안함,구매안함,제로콜라,일반,삼성 페이
한성훈,20,시민덕희,카라멜,구매안함,아메리카노,일반,신용카드
배영식,60,시민덕희,구매안함,핫도그,물,일반,신용카드
김준영,30,도그맨,카라멜,구매안함,물,조조,신용카드
백지은,20,웡카,구매안함,구매안함,물,일반,삼성 페이
정선영,20,외계인,구매안함,핫도그,물,조조,체크카드
이성수,30,위시,구매안함,구매안함,콜라,일반,신용카드
이영환,40,웡카,구매안함,오징어,제로콜라,조조,신용카드
김은지,20,위시,카라멜,구매안함,아메리카노,일반,신용카드
양승현,30,위시,구매안함,구매안함,제로콜라,일반,삼성 페이
김정숙,30,웡카,구매안함,핫도그,제로콜라,조조,신용카드
백정순,20,너의 이름은,치즈,핫도그,물,조조,삼성 페이
허성민,30,너의 이름은,구매안함,구매안함,제로콜라,일반,삼성 페이
홍서연,20,위시,일반,구매안함,환타,심야,카카오페이
한미정,20,외계인,일반,나초,구매안함,일반,삼성 페이
이재현,30,시민덕희,카라멜,나초,제로콜라,조조,삼성 페이
김은경,40,웡카,어니언,구매안함,제로콜라,일반,신용카드
김진우,20,웡카,치즈,맛밤,제로콜라,조조,삼성 페이
윤영숙,20,웡카,구매안함,나초,물,일반,신용카드
고지연,30,시민덕희,일반,구매안함,스프라이트,일반,삼성 페이
서명숙,50,너의 이름은,치즈,나초,물,조조,신용카드
허영환,30,웡카,구매안함,구매안함,아메리카노,일반,신용카드
안지원,20,시민덕희,구매안함,나초,제로콜라,일반,신용카드
박현준,20,시민덕희,구매안함,구매안함,에이드,일반,신용카드
권하은,20,시민덕희,치즈,구매안함,물,일반,신용카드
지은정,30,시민덕희,치즈,구매안함,콜라,일반,삼성 페이
최현우,20,도그맨,카라멜,나초,구매안함,조조,신용카드
이선영,30,시민덕희,일반,구매안함,제로콜라,일반,신용카드
박성훈,30,외계인,카라멜,나초,아메리카노,일반,삼성 페이
김상현,20,너의 이름은,구매안함,구매안함,제로콜라,조조,신용카드
박준호,40,위시,구매안함,핫도그,아메리카노,조조,삼성 페이
윤영일,20,웡카,구매안함,나초,환타,조조,삼성 페이
오도현,30,외계인,치즈,맛밤,콜라,일반,삼성 페이
김영순,50,웡카,카라멜,맛밤,제로콜라,일반,카카오페이
한은영,40,위시,어니언,구매안함,제로콜라,일반,신용카드
우성민,20,웡카,일반,구매안함,제로콜라,일반,신용카드
허은영,40,위시,구매안함,핫도그,환타,조조,신용카드
최예원,60,웡카,치즈,구매안함,콜라,일반,삼성 페이
송영숙,20,웡카,구매안함,구매안함,물,심야,삼성 페이
이성호,30,시민덕희,일반,구매안함,물,일반,신용카드
김시우,20,시민덕희,치즈,구매안함,물,조조,신용카드
남서윤,20,너의 이름은,치즈,맛밤,물,일반,현금
김영순,20,웡카,구매안함,구매안함,물,조조,현금
박정웅,40,시민덕희,치즈,구매안함,구매안함,조조,삼성 페이
황지현,20,시민덕희,구매안함,나초,콜라,심야,신용카드
김준영,60,웡카,구매안함,구매안함,제로콜라,일반,삼성 페이
이서현,30,외계인,구매안함,구매안함,에이드,조조,삼성 페이
노옥순,20,시민덕희,구매안함,구매안함,환타,조조,삼성 페이
최서연,40,너의 이름은,일반,구매안함,물,일반,삼성 페이
